"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header"
"TPS Main","TPS","a0bb","A*19.5/1000","0","100","mV",""
"Детонация","детонация","a027","100*A/255","0","100","%",""
"Время впрыска форсунок","впрыск","a029","A*0.256","0","100","мс",""
"Расход воздуха MAF","MAF","a01a","A*6.25","0","100","Hz",""
"ТНВД","ТНВД","a087","A*0.03125","0","6","МПа",""
"Топливная коррекция","топл.корр.","a00d","(A*0.1961)-25","-25","25","%",""
"Топливная коррекция хх","топл.корр.хх","a00c","(A*0.1961)-25","-25","25","%",""
"Смесь","Смесь","a032","14.7*128/A","0","100","%",""



